id,sex,observed_on,quality_grade,url,image_url,description,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_county_name,place_state_name,scientific_name,common_name
13430232,m,2018-06-14,research,https://www.inaturalist.org/observations/13430232,https://static.inaturalist.org/photos/19706009/medium.jpg,best pictures I could get,"Fort Payne, AL, USA",34.49260333,-85.61645167,,,,,,,,FALSE,,,De Kalb,Alabama,Speyeria diana,Diana Fritillary
13535487,m,2018-06-17,research,https://www.inaturalist.org/observations/13535487,https://inaturalist-open-data.s3.amazonaws.com/photos/19892417/medium.jpg,Sorry the pictures are blurry - it wasn't very cooperative.,"Gabes Mountain Trail, Great Smoky Mountains National Park",35.756874,-83.227058,10,,,,10,,,FALSE,,,Cocke,Tennessee,Speyeria diana,Diana Fritillary
13557475,m,2018-06-01,research,https://www.inaturalist.org/observations/13557475,https://inaturalist-open-data.s3.amazonaws.com/photos/19932794/medium.jpg,,"1500 Culp Lake Rd, Cedartown, GA, US",33.93312,-85.35594167,5,,,,5,,,FALSE,,,Polk,Georgia,Speyeria diana,Diana Fritillary
13581460,m,2018-06-16,research,https://www.inaturalist.org/observations/13581460,https://inaturalist-open-data.s3.amazonaws.com/photos/19974433/medium.jpg,Great looks as he nectared on this small stem of butterfly weed for five minutes or more. Round Mountain Road west of Max Patch.,"Cocke County, TN, USA",35.84742,-82.972115,,,,,,,,FALSE,,,Cocke,Tennessee,Speyeria diana,Diana Fritillary
13709882,m,2018-06-20,research,https://www.inaturalist.org/observations/13709882,https://static.inaturalist.org/photos/20197339/medium.jpg,,"Great Smoky Mountains National Park, Gatlinburg, TN, US",35.68758833,-83.50209667,30,,,,30,,,FALSE,,,Sevier,Tennessee,Speyeria diana,Diana Fritillary
13719432,m,2018-06-22,research,https://www.inaturalist.org/observations/13719432,https://inaturalist-open-data.s3.amazonaws.com/photos/20212987/medium.jpeg,,"Tremont Institute Parking #2, Townsend, TN 37882, USA",35.64166641,-83.68972015,,,,,,,,FALSE,gps,gps,Blount,Tennessee,Speyeria diana,Diana Fritillary
13735049,m,2018-06-23,research,https://www.inaturalist.org/observations/13735049,https://inaturalist-open-data.s3.amazonaws.com/photos/20240722/medium.jpeg,Male on gravel road in mesic forest area.,"Cocke County, TN, USA",35.84757952,-82.97264261,4,,,,4,,,FALSE,,,Cocke,Tennessee,Speyeria diana,Diana Fritillary
13877480,m,2018-06-25,research,https://www.inaturalist.org/observations/13877480,https://inaturalist-open-data.s3.amazonaws.com/photos/20489190/medium.jpg,Fresh male on Ball Creek Rd.,"Nantahala National Forest, Otto, NC, US",35.05863513,-83.43097127,61,,,,61,,,FALSE,,,Macon,North Carolina,Speyeria diana,Diana Fritillary
13883518,m,2009-06-26,research,https://www.inaturalist.org/observations/13883518,https://static.inaturalist.org/photos/20500806/medium.jpg,,"Logan County, AR, USA",35.16585259,-93.6520122,31,,,,31,,,FALSE,,,Logan,Arkansas,Speyeria diana,Diana Fritillary
13895524,m,2018-06-28,research,https://www.inaturalist.org/observations/13895524,https://inaturalist-open-data.s3.amazonaws.com/photos/20522088/medium.jpeg,,"Wythe County, VA, USA",37.0094583,-81.18219394,190,,,,190,,,FALSE,,,Wythe,Virginia,Speyeria diana,Diana Fritillary
